"Timestamp","Q.1.Institution","Q.2.Role","Q.3.Discipline","Q.4.Fund","Q.5.Seniority","Q.6.Use.Software","Q.7.Importance.Software","Q.8.Developing.Software","Q.9.Training.Software","Q.10.Cost.Software","Q.11.Main.Software","E.1.Job.Title","E.2.Gender","E.3.Contract","E.4.OS","dataOrigin","Question.1..In.which.country.do.you.live.","X","X.1","Q.2.I conduct research","Q.2.I develop software for researchers","Q.2.I manage researchers or research projects","Q.2.I support researchers","Q.4.Fund.clean","Q.9.Training.Software.clean","Q.9.Training.Software.YN","E.1.Job.Title.clean","E.2.Gender.clean","E.4.OS.clean"
"","","","","","","","","","","","","","","","","survey",NA,NA,NA,0,0,0,0,"","NA","NA","","",""
"8/20/2014 15:33:45","UCL","I conduct research, I manage researchers or research projects","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","No","No","No","VEDA-FE
VEDA-BE
ANSWER
GAMS
Excel","Senior Research Associate","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,1,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No",NA,"Male","Linux"
"8/20/2014 15:42:13","UCL","I conduct research","Engineering & technology","Don't know","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","No","I'm not involved in bid writing","matlab ","postdoctoral researcher","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,0,0,"Don't know","No","No","Researcher","Male","Linux"
"8/20/2014 15:46:23","Cardiff University","I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers, teach/admin","Biological, mathematical & physical sciences","BBSRC - Biotechnology and Biological Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Excel, R, Image J, IrfanView, Bowtie, Integrated Genome Browser, Java Tree View, SAM Tools, Cluster 3,  DiProBase, UCSF Chimera, MEME, custom Perl/Shell/Python scripts","Senior Lecturer","Male","Permanent","Linux","survey",NA,NA,NA,1,1,1,1,"BBSRC - Biotechnology and Biological Sciences Research Council","Self-Taught","No","Lecturer","Male","Linux"
"8/20/2014 15:47:48","University of Cambridge","I conduct research","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Less than a year","Yes","My work would require more effort, but it would still be possible","No","No","I'm not involved in bid writing","Atlas.ti","","Female","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No","","Female","Microsoft Windows"
"8/20/2014 16:05:30","Newcastle University","I conduct research","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","No","I'm not involved in bid writing","R","Research Associate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No",NA,"Female","Microsoft Windows"
"8/20/2014 19:01:08","Cardiff University","I conduct research","Biological, mathematical & physical sciences","University central funds","More than 20 years","No","My work would require more effort, but it would still be possible","Yes","No","I'm not involved in bid writing","TeX for writing up mathematical papers","Part-time Professor","Male","Fixed term","DOS or ZX Spectrum","survey",NA,NA,NA,1,0,0,0,"University central funds","No","No","Professor","Male","DOS or ZX Spectrum"
"8/20/2014 20:30:35","PhD","I conduct research, I develop software for researchers","Biological, mathematical & physical sciences","University central funds","6-10 years","Yes","It would make no significant difference to my work","Yes","Yes - a taught course","No, but we expected to develop software as part of the project","Python, Linux, Endnote, MATLAB","PhD","Male","Fixed term","Linux","survey",NA,NA,NA,1,1,0,0,"University central funds","Taught","Yes","Postgraduate student","Male","Linux"
"8/21/2014 10:14:10","University of Cambridge","I conduct research, I develop software for researchers","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","Yes","libAtoms/QUIP ; CASTEP ; molpro","PhD Student","Male","Prefer not to say","Mac OS X","survey",NA,NA,NA,1,1,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-Taught","No","Postgraduate student","Male","Mac OS X"
"8/21/2014 10:16:32","University of Cambridge","I conduct research, I manage researchers or research projects","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","No","Yes","Materials Studio, and home-made software: Music and Raspa, for GCMC simulations","University Research Fellow (RS)","Male","Fixed term","I prefer Windows and Unix","survey",NA,NA,NA,1,0,1,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No",NA,"Male",NA
"8/21/2014 10:19:28","University of Edinburgh","I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","MRC - Medical Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","No","No","No","Mainly online resources for the analysis of DNA/RNA sequences, protein structural analysis, search engines, RNA folding predictions, statistic packages etc","Professor","Female","Permanent","Don't have a preference","survey",NA,NA,NA,1,0,1,0,"MRC - Medical Research Council","No","No","Professor","Female",NA
"8/21/2014 10:20:14","Newcastle University","I conduct research, I manage researchers or research projects","Engineering & technology","Don't know","1-5 years","Yes","It would not be practical to conduct my work without software","No","No","No","HyperMesh, LS Dyna, MS based","Researcher","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Don't know","No","No","Researcher","Male","Microsoft Windows"
"8/21/2014 10:22:31","UCL","I conduct research","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","My work would require more effort, but it would still be possible","Yes","Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Matlab
Mathematica
xmgrace","Research Fellow","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-Taught","No",NA,"Male","Mac OS X"
